Coefficient,Estimate,Std. Error,95% CI (lower),95% CI (upper)
(Intercept),-0.173,0.023,-0.218,-0.128
ba_scaled,-0.261,0.006,-0.272,-0.250
drought_strength_scaled,0.035,0.006,0.024,0.046
prop_drought_scaled,0.014,0.007,0.000,0.027
beta_pca_scaled,0.003,0.005,-0.007,0.014
td_pca_scaled,-0.047,0.005,-0.057,-0.036
map_scaled,0.121,0.008,0.104,0.138
mat_scaled,-0.019,0.031,-0.079,0.042
cwm_drought_pc2_scaled,-0.013,0.006,-0.026,-0.001
cwm_growth_pc1_scaled,-0.026,0.008,-0.042,-0.010
elev_scaled,-0.038,0.021,-0.079,0.003
stand_age_scaled,-0.197,0.006,-0.209,-0.186
ba_scaled:drought_strength_scaled,0.077,0.005,0.067,0.087
ba_scaled:beta_pca_scaled,0.000,0.005,-0.009,0.009
ba_scaled:td_pca_scaled,-0.023,0.005,-0.033,-0.014
